residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1333,24414,111.0748,2.1295,-0.3774,0.9538,-0.2877
1335,24414,134.0845,1.9936,-0.2832,1.0022,-0.2877
1337,24414,133.7612,1.9951,-0.2843,0.9955,-0.2877
1339,24414,103.5355,2.1974,-0.4245,0.9568,-0.2877
1341,24414,118.3302,2.0768,-0.3409,0.9587,-0.2877
1343,24414,134.2099,1.9927,-0.2826,1.0071,-0.2877
1345,24414,111.0748,2.1295,-0.3774,0.9454,-0.2877
1347,24414,118.3279,2.0773,-0.3413,0.9675,-0.2877
1349,24414,118.6744,2.0748,-0.3396,0.9707,-0.2877
1351,24414,134.0005,1.9935,-0.2832,1.0001,-0.2877
1353,24414,126.4367,2.0305,-0.3088,0.9792,-0.2877
1355,24414,118.6744,2.0748,-0.3396,0.9764,-0.2877
1357,24414,126.2412,2.0307,-0.3089,0.9860,-0.2877
1359,24414,125.9457,2.0327,-0.3104,0.9833,-0.2877
1361,24414,133.9929,1.9940,-0.2835,1.0021,-0.2877
1363,24414,141.8088,1.9623,-0.2616,1.0218,-0.2877
1365,24414,80.4893,2.6055,-0.7074,0.8936,-0.2877
1367,24414,118.9351,2.0721,-0.3377,0.9641,-0.2877
1369,24414,111.1380,2.1294,-0.3774,0.9367,-0.2877
1371,24414,126.1246,2.0309,-0.3091,0.9792,-0.2877
1373,24414,111.2984,2.1287,-0.3769,0.9394,-0.2877
1375,24414,118.7913,2.0740,-0.3390,0.9820,-0.2877
1377,24414,118.8850,2.0738,-0.3389,0.9599,-0.2877
1379,24414,103.3731,2.1991,-0.4257,0.9310,-0.2877
1381,24414,103.3731,2.1991,-0.4257,0.9202,-0.2877
1383,24414,141.4471,1.9625,-0.2617,1.0156,-0.2877
1385,24414,119.0055,2.0731,-0.3383,0.9768,-0.2877
1387,24414,126.3561,2.0303,-0.3087,0.9791,-0.2877
1389,24414,118.6126,2.0750,-0.3397,0.9571,-0.2877
1391,24414,126.3688,2.0306,-0.3089,0.9893,-0.2877
1393,24414,103.5307,2.1987,-0.4254,0.9243,-0.2877
1395,24414,110.9016,2.1306,-0.3782,0.9320,-0.2877
1397,24414,103.5307,2.1987,-0.4254,0.9303,-0.2877
1399,24414,118.7558,2.0753,-0.3399,0.9647,-0.2877
1401,24414,134.3142,1.9920,-0.2821,1.0010,-0.2877
1403,24414,118.3559,2.0768,-0.3409,0.9593,-0.2877
1405,24414,111.1439,2.1282,-0.3766,0.9654,-0.2877
1407,24414,134.2388,1.9929,-0.2828,1.0121,-0.2877
1409,24414,118.8937,2.0738,-0.3388,0.9517,-0.2877
1411,24414,103.5307,2.1987,-0.4254,0.9192,-0.2877
1413,24414,118.5147,2.0747,-0.3395,0.9631,-0.2877
1415,24414,103.5307,2.1987,-0.4254,0.9563,-0.2877
1417,24414,118.3138,2.0759,-0.3403,0.9722,-0.2877
1419,24414,118.5147,2.0747,-0.3395,0.9674,-0.2877
1421,24414,95.7196,2.2907,-0.4892,0.8946,-0.2877
1423,24414,110.9175,2.1315,-0.3788,0.9615,-0.2877
1425,24414,111.2057,2.1291,-0.3772,0.9266,-0.2877
