residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
129,1.0000,6.0000,2.0000,3.0000,1.0000,2.0000,0.0000,3.0000,21.0000,0.7219,0.9668,0.0000,2.0000,0.0000,3.0000,4.0000,1.5710,2.5000,6.0000,48828,122.6449,104470236.4066,0.0000
131,2.0000,5.0000,3.0000,3.0000,2.0000,1.0000,2.0000,5.0000,23.0000,0.8813,0.9362,0.0000,2.0000,0.0000,3.0000,4.0000,1.7610,2.5000,5.0000,48828,107.3907,44180664.1477,0.0000
133,1.0000,4.0000,3.0000,5.0000,1.0000,4.0000,1.0000,7.0000,25.0000,0.8813,0.9325,0.0000,2.0000,0.0000,4.0000,6.0000,2.3219,1.6667,4.0000,48828,107.3907,32115557.4169,0.0000
135,3.0000,4.0000,4.0000,3.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.9710,0.9792,0.0000,2.0000,0.0000,3.0000,4.0000,1.8464,2.5000,4.0000,48828,122.5424,543829826.8388,0.0000
137,1.0000,3.0000,3.0000,5.0000,1.0000,2.0000,2.0000,2.0000,2.0000,0.8813,1.0083,0.0000,2.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48828,137.8794,1418191789.8437,0.0000
139,2.0000,3.0000,4.0000,5.0000,2.0000,1.0000,1.0000,4.0000,4.0000,0.9710,0.9683,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48828,122.6609,109143563.0506,0.0000
141,2.0000,3.0000,4.0000,5.0000,1.0000,3.0000,0.0000,6.0000,6.0000,0.9710,0.9037,0.0000,2.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48828,99.9285,26851925.9150,0.0000
143,4.0000,3.0000,5.0000,3.0000,4.0000,1.0000,2.0000,8.0000,8.0000,1.0000,0.9842,0.0000,2.0000,0.0000,3.0000,4.0000,1.8464,2.5000,3.0000,48828,122.4215,162829430.7365,0.0000
145,1.0000,3.0000,3.0000,5.0000,1.0000,2.0000,1.0000,1.0000,10.0000,0.8813,0.9683,0.0000,2.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48828,122.3320,142369986.8940,0.0000
147,2.0000,2.0000,4.0000,5.0000,2.0000,1.0000,0.0000,3.0000,12.0000,0.9710,0.9756,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,122.3320,150865720.0430,0.0000
149,1.0000,2.0000,4.0000,7.0000,1.0000,6.0000,2.0000,5.0000,14.0000,0.9710,0.9527,0.0000,2.0000,0.0000,6.0000,8.0000,2.9219,1.2500,2.0000,48828,107.1941,29972895.2424,0.0000
151,3.0000,2.0000,5.0000,5.0000,3.0000,1.0000,1.0000,7.0000,16.0000,1.0000,0.9597,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,2.0000,48828,99.9285,57813864.6670,0.0000
153,2.0000,2.0000,4.0000,5.0000,1.0000,2.0000,0.0000,0.0000,18.0000,0.9710,0.9442,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,115.1172,51148014.5390,0.0000
