n,T_n,v_2,multiplier,log_drift
377001,282751,2,0.750001,-0.287681
378001,283501,2,0.750001,-0.287681
379001,284251,2,0.750001,-0.287681
380001,285001,2,0.750001,-0.287681
381001,285751,2,0.750001,-0.287681
382001,286501,2,0.750001,-0.287681
383001,287251,2,0.750001,-0.287681
384001,288001,2,0.750001,-0.287681
385001,288751,2,0.750001,-0.287681
386001,289501,2,0.750001,-0.287681
387001,290251,2,0.750001,-0.287681
388001,291001,2,0.750001,-0.287681
389001,291751,2,0.750001,-0.287681
390001,292501,2,0.750001,-0.287681
391001,293251,2,0.750001,-0.287681
392001,294001,2,0.750001,-0.287681
393001,294751,2,0.750001,-0.287681
394001,295501,2,0.750001,-0.287681
395001,296251,2,0.750001,-0.287681
396001,297001,2,0.750001,-0.287681
397001,297751,2,0.750001,-0.287681
398001,298501,2,0.750001,-0.287681
399001,299251,2,0.750001,-0.287681
400001,300001,2,0.750001,-0.287681
401001,300751,2,0.750001,-0.287681
402001,301501,2,0.750001,-0.287681
403001,302251,2,0.750001,-0.287681
404001,303001,2,0.750001,-0.287681
405001,303751,2,0.750001,-0.287681
406001,304501,2,0.750001,-0.287681
407001,305251,2,0.750001,-0.287681
408001,306001,2,0.750001,-0.287681
409001,306751,2,0.750001,-0.287681
410001,307501,2,0.750001,-0.287681
411001,308251,2,0.750001,-0.287681
412001,309001,2,0.750001,-0.287681
413001,309751,2,0.750001,-0.287681
414001,310501,2,0.750001,-0.287681
415001,311251,2,0.750001,-0.287681
416001,312001,2,0.750001,-0.287681
417001,312751,2,0.750001,-0.287681
418001,313501,2,0.750001,-0.287681
419001,314251,2,0.750001,-0.287681
420001,315001,2,0.750001,-0.287681
421001,315751,2,0.750001,-0.287681
422001,316501,2,0.750001,-0.287681
423001,317251,2,0.750001,-0.287681
424001,318001,2,0.750001,-0.287681
425001,318751,2,0.750001,-0.287681
426001,319501,2,0.750001,-0.287681
427001,320251,2,0.750001,-0.287681
428001,321001,2,0.750001,-0.287681
429001,321751,2,0.750001,-0.287681
430001,322501,2,0.750001,-0.287681
431001,323251,2,0.750001,-0.287681
432001,324001,2,0.750001,-0.287681
433001,324751,2,0.750001,-0.287681
434001,325501,2,0.750001,-0.287681
435001,326251,2,0.750001,-0.287681
436001,327001,2,0.750001,-0.287681
437001,327751,2,0.750001,-0.287681
438001,328501,2,0.750001,-0.287681
439001,329251,2,0.750001,-0.287681
440001,330001,2,0.750001,-0.287681
441001,330751,2,0.750001,-0.287681
442001,331501,2,0.750001,-0.287681
443001,332251,2,0.750001,-0.287681
444001,333001,2,0.750001,-0.287681
445001,333751,2,0.750001,-0.287681
446001,334501,2,0.750001,-0.287681
447001,335251,2,0.750001,-0.287681
448001,336001,2,0.750001,-0.287681
449001,336751,2,0.750001,-0.287681
450001,337501,2,0.750001,-0.287681
451001,338251,2,0.750001,-0.287681
452001,339001,2,0.750001,-0.287681
453001,339751,2,0.750001,-0.287681
454001,340501,2,0.750001,-0.287681
455001,341251,2,0.750001,-0.287681
456001,342001,2,0.750001,-0.287681
457001,342751,2,0.750001,-0.287681
458001,343501,2,0.750001,-0.287681
459001,344251,2,0.750001,-0.287681
460001,345001,2,0.750001,-0.287681
461001,345751,2,0.750001,-0.287681
462001,346501,2,0.750001,-0.287681
463001,347251,2,0.750001,-0.287681
464001,348001,2,0.750001,-0.287681
465001,348751,2,0.750001,-0.287681
466001,349501,2,0.750001,-0.287681
467001,350251,2,0.750001,-0.287681
468001,351001,2,0.750001,-0.287681
469001,351751,2,0.750001,-0.287681
470001,352501,2,0.750001,-0.287681
471001,353251,2,0.750001,-0.287681
472001,354001,2,0.750001,-0.287681
473001,354751,2,0.750001,-0.287681
474001,355501,2,0.750001,-0.287681
475001,356251,2,0.750001,-0.287681
476001,357001,2,0.750001,-0.287681
477001,357751,2,0.750001,-0.287681
478001,358501,2,0.750001,-0.287681
479001,359251,2,0.750001,-0.287681
480001,360001,2,0.750001,-0.287681
481001,360751,2,0.750001,-0.287681
482001,361501,2,0.750001,-0.287681
483001,362251,2,0.750001,-0.287681
484001,363001,2,0.750001,-0.287681
485001,363751,2,0.750001,-0.287681
486001,364501,2,0.750001,-0.287681
487001,365251,2,0.750001,-0.287681
488001,366001,2,0.750001,-0.287681
489001,366751,2,0.750001,-0.287681
490001,367501,2,0.750001,-0.287681
491001,368251,2,0.750001,-0.287681
492001,369001,2,0.750001,-0.287681
493001,369751,2,0.750001,-0.287681
494001,370501,2,0.750001,-0.287681
495001,371251,2,0.750001,-0.287681
496001,372001,2,0.750001,-0.287681
497001,372751,2,0.750001,-0.287681
498001,373501,2,0.750001,-0.287681
499001,374251,2,0.750001,-0.287681
500001,375001,2,0.75,-0.287681
501001,375751,2,0.75,-0.287681
502001,376501,2,0.75,-0.287681
503001,377251,2,0.75,-0.287681
504001,378001,2,0.75,-0.287681
505001,378751,2,0.75,-0.287681
506001,379501,2,0.75,-0.287681
507001,380251,2,0.75,-0.287681
508001,381001,2,0.75,-0.287681
509001,381751,2,0.75,-0.287681
510001,382501,2,0.75,-0.287681
511001,383251,2,0.75,-0.287681
512001,384001,2,0.75,-0.287681
513001,384751,2,0.75,-0.287681
514001,385501,2,0.75,-0.287681
515001,386251,2,0.75,-0.287681
516001,387001,2,0.75,-0.287681
517001,387751,2,0.75,-0.287681
518001,388501,2,0.75,-0.287681
519001,389251,2,0.75,-0.287681
520001,390001,2,0.75,-0.287681
521001,390751,2,0.75,-0.287681
522001,391501,2,0.75,-0.287681
523001,392251,2,0.75,-0.287681
524001,393001,2,0.75,-0.287681
525001,393751,2,0.75,-0.287681
526001,394501,2,0.75,-0.287681
527001,395251,2,0.75,-0.287681
528001,396001,2,0.75,-0.287681
529001,396751,2,0.75,-0.287681
530001,397501,2,0.75,-0.287681
531001,398251,2,0.75,-0.287681
532001,399001,2,0.75,-0.287681
533001,399751,2,0.75,-0.287681
534001,400501,2,0.75,-0.287681
535001,401251,2,0.75,-0.287681
536001,402001,2,0.75,-0.287681
537001,402751,2,0.75,-0.287681
538001,403501,2,0.75,-0.287681
539001,404251,2,0.75,-0.287681
540001,405001,2,0.75,-0.287681
541001,405751,2,0.75,-0.287681
542001,406501,2,0.75,-0.287681
543001,407251,2,0.75,-0.287681
544001,408001,2,0.75,-0.287681
545001,408751,2,0.75,-0.287681
546001,409501,2,0.75,-0.287681
547001,410251,2,0.75,-0.287681
548001,411001,2,0.75,-0.287681
549001,411751,2,0.75,-0.287681
550001,412501,2,0.75,-0.287681
551001,413251,2,0.75,-0.287681
552001,414001,2,0.75,-0.287681
553001,414751,2,0.75,-0.287681
554001,415501,2,0.75,-0.287681
555001,416251,2,0.75,-0.287681
556001,417001,2,0.75,-0.287681
557001,417751,2,0.75,-0.287681
558001,418501,2,0.75,-0.287681
559001,419251,2,0.75,-0.287681
560001,420001,2,0.75,-0.287681
561001,420751,2,0.75,-0.287681
562001,421501,2,0.75,-0.287681
563001,422251,2,0.75,-0.287681
564001,423001,2,0.75,-0.287681
565001,423751,2,0.75,-0.287681
566001,424501,2,0.75,-0.287681
567001,425251,2,0.75,-0.287681
568001,426001,2,0.75,-0.287681
569001,426751,2,0.75,-0.287681
570001,427501,2,0.75,-0.287681
571001,428251,2,0.75,-0.287681
572001,429001,2,0.75,-0.287681
