residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
185,3,2,5,5,1,2,2,5,23,1,0.968459,48828,122.543,2,1.85484e+008
187,3,2,6,5,2,1,1,7,25,0.970951,0.993481,48828,130.233,1,4.51111e+008
189,4,2,6,5,1,3,0,0,0,0.970951,0.968117,48828,122.347,3,1.37144e+008
191,6,2,7,3,6,1,2,2,2,0.881291,0.999799,48828,129.912,1,3.02909e+009
193,2,5,3,3,1,2,1,4,4,0.881291,0.939551,48828,115.323,2,1.04098e+008
195,2,4,4,3,2,1,0,6,6,0.970951,0.967931,48828,115.323,1,1.04098e+008
197,2,3,4,5,1,4,2,8,8,0.970951,0.93607,48828,107.395,4,8.21197e+007
199,3,3,5,3,3,1,1,1,10,1,0.96919,48828,122.783,1,1.51697e+008
201,2,2,4,5,1,2,0,3,12,0.970951,0.9596,48828,107.71,2,8.39634e+007
203,2,2,5,5,2,1,2,5,14,1,0.956111,48828,115.143,1,5.10819e+008
205,2,2,5,5,1,3,1,7,16,1,0.918109,48828,107.395,3,8.21197e+007
207,4,2,6,3,4,1,0,0,18,0.970951,0.998162,48828,130.345,1,3.81136e+008
209,2,3,4,5,1,2,2,2,20,0.970951,0.968006,48828,122.324,2,1.50739e+008
211,2,2,5,5,2,1,1,4,22,1,0.975261,48828,122.324,1,1.50739e+008
213,2,2,5,7,1,7,0,6,24,1,0.897146,48828,92.2061,7,7.55494e+007
215,3,2,6,5,3,1,2,8,26,0.970951,0.979452,48828,122.673,1,1.35567e+008
217,2,2,5,5,1,2,1,1,1,1,0.96399,48828,114.876,2,9.29244e+007
219,2,2,6,5,2,1,0,3,3,0.970951,0.973784,48828,122.667,1,1.97372e+008
221,3,2,6,5,1,3,2,5,5,0.970951,0.975623,48828,122.38,3,1.535e+008
223,5,2,7,3,5,1,1,7,7,0.881291,0.993412,48828,130.161,1,4.335e+008
225,3,4,4,3,1,2,0,0,9,0.970951,1.00813,48828,137.82,2,9.95623e+008
227,3,3,5,3,2,1,2,2,11,1,0.936564,48828,92.2061,1,7.55494e+007
229,3,2,5,5,1,4,1,4,13,1,0.950254,48828,115,4,9.69051e+007
231,3,2,6,3,3,1,0,6,15,0.970951,0.991323,48828,130.16,1,3.55576e+008
233,3,2,5,5,1,2,2,8,17,1,0.975584,48828,122.428,2,2.25649e+009
235,3,2,6,5,2,1,1,1,19,0.970951,0.986621,48828,130.204,1,7.081e+008
237,3,2,6,5,1,3,0,3,21,0.970951,0.933926,48828,107.154,3,7.96812e+007
239,4,2,7,3,4,1,2,5,23,0.881291,1.02637,48828,145.621,1,2.74404e+009
241,4,3,5,3,1,2,1,7,25,1,0.92902,48828,107.106,2,7.94167e+007
